Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
191.33,200.33,0,97.15,95.94,237.94,374.89,111.95,41.99,8.63,93.6,990.12,98.26,-1231.45,-0.01,-0.03,0.26
192.39,87.07,0,97.34,95.98,236.34,376.41,95.4,49.31,8.63,47.23,991.13,99.66,-1231.45,-0.01,-0.01,0.26
193.39,91.21,0,97.45,96.06,235.49,375.27,92.02,49.46,8.63,98.23,993.17,96.72,-1231.83,0,-0.01,0.28
194.4,240.39,0,97.45,96.06,235.22,375.27,112.76,50.22,8.67,83.22,993.58,96,-1231.83,-0.02,-0.01,0.27
195.43,95.34,0,97.41,96.09,236.45,371.46,106.82,49.69,8.67,87.37,988.29,94.53,-1231.83,-0.02,-0.01,0.28
196.54,450.72,0,91.62,96.48,222.97,394.33,219.34,37.11,8.25,0,1018.42,95.41,-1231.83,0,-0.01,0.25
197.73,611.7,0,91.62,96.44,222.89,393.57,241.91,33.68,8.21,0,1018.83,94.97,-1231.45,0,0,0.25
198.77,619.74,0,91.66,96.44,222.85,392.43,271.93,44.5,8.25,15.22,1017.81,94.09,-1231.83,-0.01,-0.01,0.24
199.8,676.08,0,88.91,96.63,218.56,422.93,119.5,58.69,8.09,0,1031.26,97.23,-1231.45,-0.02,0.01,0.24
200.92,507.06,0,88.91,96.63,218.17,424.07,148.74,56.7,8.09,17.51,1035.33,97.6,-1231.83,0,0,0.23
201.99,383.1,0,88.87,96.63,217.82,423.69,173.55,54.49,8.09,16.74,1034.11,98.56,-1231.45,-0.02,-0.02,0.24
202.99,360.58,0,88.87,96.63,217.59,427.88,191.89,56.4,8.06,52.93,1036.35,97.86,-1231.45,-0.01,-0.02,0.23
204.05,79.81,0,88.95,96.48,217.08,435.51,151.48,57.54,8.06,0,1052,98.7,-1231.45,-0.02,-0.01,0.22
205.06,212.1,0,89.33,96.44,216.83,433.98,161.93,59.14,8.06,49.9,1055.86,98.72,-1231.45,-0.01,-0.02,0.24
206.09,179.26,0,90.59,96.36,216.22,437.79,163.46,56.93,8.06,68.88,1054.64,97.91,-1231.45,-0.01,0,0.22
207.12,195.71,0,91.62,96.32,216.12,438.94,169.83,58,8.06,6.49,1052.61,97.05,-1231.45,0,0,0.23
208.15,185.92,0,91.47,96.25,215.31,432.46,174.48,57.24,8.06,0,1052.61,97.4,-1231.45,-0.01,-0.02,0.24
209.16,240.38,0,91.35,96.21,215.36,436.65,184.1,58.23,8.09,0,1053.02,97.16,-1231.83,-0.01,0,0.24
210.16,144.23,0,90.97,96.17,215.11,438.56,176.64,57.92,8.06,0,1058.1,98.42,-1231.83,0,-0.02,0.23
211.16,154.94,0,90.59,96.13,215.09,439.32,183.04,57.85,8.06,0,1056.27,98.33,-1231.45,-0.01,-0.01,0.24
212.16,200.32,0,90.28,96.09,214.52,438.94,187.01,56.47,8.09,0,1057.9,97.35,-1231.45,0,-0.02,0.23
213.22,166.57,0,90.05,96.06,214.17,437.41,181.21,56.17,8.06,0,1055.05,97.37,-1231.45,-0.01,-0.01,0.23
214.29,182.44,0,89.9,96.06,213.88,441.23,177.1,56.17,8.09,0,1056.07,97.28,-1231.83,-0.01,-0.01,0.24
215.38,127.22,0,89.56,96.02,213.09,438.94,164.94,57.31,8.06,0,1053.22,95.72,-1231.45,-0.01,-0.02,0.23
216.39,139.72,0,89.22,95.98,212.46,440.46,155.21,57.47,8.09,0,1055.86,96.14,-1231.45,0,0,0.24
217.39,133.54,0,89.52,95.94,212.41,447.71,147.85,57.77,8.13,0,1063.18,97.65,-1231.83,-0.01,-0.01,0.23
218.42,232.4,0,89.86,95.98,211.89,449.61,159.37,48.77,8.13,0,1067.05,97.07,-1231.45,-0.01,-0.03,0.25
219.45,123.58,0,94.02,96.02,210.59,447.33,96.24,53.65,8.13,0,1067.86,97.95,-1231.83,-0.01,-0.02,0.23
220.52,166.56,0,95.39,96.02,209.34,447.71,110.62,48.7,8.13,0,1066.64,97.56,-1231.45,-0.02,-0.02,0.24
